Title,Release Year,Color/B&W,Genre,Language,Country
After Earth,2013,Color,Action,English,USA
All Is Lost,2013,Color,Action,English,USA
Anchorman 2: The Legend Continues,2013,Color,Comedy,English,USA
August: Osage County,2013,Color,Drama,English,USA
Bad Grandpa,2013,Color,Comedy,English,USA
Bad Words,2013,Color,Comedy,English,USA
Baggage Claim,2013,Color,Comedy,English,USA
Battle of the Year,2013,Color,Drama,English,USA
Beautiful Creatures,2013,Color,Drama,English,USA
Before Midnight,2013,Color,Drama,English,USA
Begin Again,2013,Color,Drama,English,USA
Black Nativity,2013,Color,Drama,English,USA
Blue Jasmine,2013,Color,Drama,English,USA
Carrie,2013,Color,Drama,English,USA
Cheap Thrills,2013,Color,Comedy,English,USA
Cloudy with a Chance of Meatballs 2,2013,Color,Animation,English,USA
Dead Man Down,2013,Color,Action,English,USA
Delivery Man,2013,Color,Comedy,English,USA
Despicable Me 2,2013,Color,Animation,English,USA
Don Jon,2013,Color,Comedy,English,USA
Elysium,2013,Color,Action,English,USA
Ender's Game,2013,Color,Action,English,USA
Enough Said,2013,Color,Comedy,English,USA
Epic,2013,Color,Adventure,English,USA
Escape from Planet Earth,2013,Color,Adventure,English,USA
Escape Plan,2013,Color,Action,English,USA
Free Birds,2013,Color,Adventure,English,USA
Frozen,2013,Color,Adventure,English,USA
G.I. Joe: Retaliation,2013,Color,Action,English,USA
Gangster Squad,2013,Color,Action,English,USA
Getaway,2013,Color,Action,English,USA
Gravity,2013,Color,Adventure,English,UK
Grown Ups 2,2013,Color,Comedy,English,USA
Grudge Match,2013,Color,Comedy,English,USA
Hansel & Gretel: Witch Hunters,2013,Color,Action,English,Germany
Her,2013,Color,Drama,English,USA
Home Run,2013,Color,Drama,English,USA
Homefront,2013,Color,Action,English,USA
Identity Thief,2013,Color,Comedy,English,USA
Inside Llewyn Davis,2013,Color,Drama,English,USA
Iron Man 3,2013,Color,Action,English,USA
Jack the Giant Slayer,2013,Color,Adventure,English,USA
Joe,2013,Color,Drama,English,USA
Kevin Hart: Let Me Explain,2013,Color,Comedy,English,USA
Kick-Ass 2,2013,Color,Action,English,USA
Labor Day,2013,Color,Drama,English,USA
Last Vegas,2013,Color,Comedy,English,USA
Legends of Oz: Dorothy's Return,2013,Color,Adventure,English,USA
Lone Survivor,2013,Color,Action,English,USA
Man of Steel,2013,Color,Action,English,USA
Monsters University,2013,Color,Adventure,English,USA
Movie 43,2013,Color,Comedy,English,USA
Nebraska,2013,Black and White,Adventure,English,USA
Oblivion,2013,Color,Action,English,USA
Olympus Has Fallen,2013,Color,Action,English,USA
Oz the Great and Powerful,2013,Color,Adventure,English,USA
Pacific Rim,2013,Color,Action,English,USA
Pain & Gain,2013,Color,Comedy,English,USA
Parker,2013,Color,Action,English,USA
Peeples,2013,Color,Comedy,English,USA
Percy Jackson: Sea of Monsters,2013,Color,Adventure,English,USA
R.I.P.D.,2013,Color,Action,English,USA
R100,2013,Color,Comedy,Japanese,Japan
RED 2,2013,Color,Action,English,USA
Riddick,2013,Color,Action,English,USA
Rush,2013,Color,Action,English,UK
Safe Haven,2013,Color,Drama,English,USA
Scary Movie 5,2013,Color,Comedy,English,USA
Snitch,2013,Color,Action,English,USA
Star Trek Into Darkness,2013,Color,Action,English,USA
Stoker,2013,Color,Drama,English,UK
The Adventurer: The Curse of the Midas Box,2013,Color,Adventure,English,UK
The Best Man Holiday,2013,Color,Comedy,English,USA
The Big Wedding,2013,Color,Comedy,English,USA
The Book Thief,2013,Color,Drama,English,USA
The Canyons,2013,Color,Drama,English,USA
The Croods,2013,Color,Adventure,English,USA
The East,2013,Color,Drama,English,UK
The Great Gatsby,2013,Color,Drama,English,Australia
The Green Inferno,2013,Color,Adventure,English,USA
The Heat,2013,Color,Action,English,USA
The Hobbit: The Desolation of Smaug,2013,Color,Adventure,English,USA
The Hunger Games: Catching Fire,2013,Color,Adventure,English,USA
The Immigrant,2013,Color,Drama,English,USA
The Incredible Burt Wonderstone,2013,Color,Comedy,English,USA
The Internship,2013,Color,Comedy,English,USA
The Knife of Don Juan,2013,Color,Comedy,Spanish,USA
The Last Exorcism Part II,2013,Color,Drama,English,France
The Last Stand,2013,Color,Action,English,USA
The Lone Ranger,2013,Color,Action,English,USA
The Secret Life of Walter Mitty,2013,Color,Adventure,English,USA
The Smurfs 2,2013,Color,Adventure,English,USA
The Spectacular Now,2013,Color,Comedy,English,USA
The To Do List,2013,Color,Comedy,English,USA
The Way Way Back,2013,Color,Comedy,English,USA
The Wolverine,2013,Color,Action,English,USA
The World's End,2013,Color,Action,English,UK
The Young and Prodigious T.S. Spivet,2013,Color,Action,English,France
This Is the End,2013,Color,Comedy,English,USA
Thor: The Dark World,2013,Color,Action,English,USA
Turbo,2013,Color,Adventure,English,USA
Walking with Dinosaurs 3D,2013,Color,Adventure,English,USA
Warm Bodies,2013,Color,Comedy,English,USA
We're the Millers,2013,Color,Comedy,English,USA
White House Down,2013,Color,Action,English,USA
World War Z,2013,Color,Action,English,USA
22 Jump Street,2014,Color,Action,English,USA
3 Days to Kill,2014,Color,Action,English,USA
300: Rise of an Empire,2014,Color,Action,English,USA
A Haunted House 2,2014,Color,Comedy,English,USA
A Million Ways to Die in the West,2014,Color,Comedy,English,USA
A Most Violent Year,2014,Color,Action,English,USA
About Last Night,2014,Color,Comedy,English,USA
Addicted,2014,Color,Drama,Spanish,USA
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Color,Comedy,English,USA
American Sniper,2014,Color,Action,English,USA
And So It Goes,2014,Color,Comedy,English,USA
Annie,2014,Color,Comedy,English,USA
Atlas Shrugged: Who Is John Galt?,2014,Color,Drama,English,USA
Before I Go to Sleep,2014,Color,Drama,English,UK
Beyond the Lights,2014,Color,Drama,English,USA
Big Hero 6,2014,Color,Action,English,USA
