date,ozone,pm25,co
01-01-2000,0.004032,37.32,1.408635
02-01-2000,0.009486,42.4,1.951945
03-01-2000,0.00558,31.25,1.554464
04-01-2000,0.008717,12.95,1.247267
05-01-2000,0.013754,7.8,0.893225
06-01-2000,0.009069,9.4,0.992027
07-01-2000,0.008333,19.206667,1.169345
08-01-2000,0.007639,17.1,0.848016
09-01-2000,0.004569,26,1.172917
10-01-2000,0.005833,17.130769,1.234472
11-01-2000,0.009938,8.7,0.928739
12-01-2000,0.009656,9.25,0.993334
13-01-2000,0.01199,11.393333,0.993522
14-01-2000,0.019417,10.4,0.845316
16-01-2000,0.016424,10.86,0.774107
19-01-2000,0.007386,17.67,1.180115
20-01-2000,0.00641,21,1.29881
21-01-2000,0.019178,7.7,0.882946
22-01-2000,0.015035,9.433333,0.888988
24-01-2000,0.003912,37.9,1.533247
25-01-2000,0.010868,18.153333,0.936905
26-01-2000,0.013391,12.7,1.053869
27-01-2000,0.017611,8.1,0.999503
28-01-2000,0.018035,7.5875,1.022257
29-01-2000,0.012403,13.2,1.201191
30-01-2000,0.007743,34.3,1.672781
31-01-2000,0.005545,20.8,1.129752
01-02-2000,0.010583,24.8,1.105357
02-02-2000,0.017738,6.5,1.021699
09-02-2000,0.006764,25.30625,1.248214
10-02-2000,0.006192,47.75,1.824702
11-02-2000,0.010243,42.15,1.687474
12-02-2000,0.010924,12.405882,1.216071
13-02-2000,0.009188,17.35,1.38466
14-02-2000,0.007674,16.6,1.465476
15-02-2000,0.016215,12.353333,1.21319
16-02-2000,0.00966,24.65,1.355249
17-02-2000,0.015747,9.55,1.159449
18-02-2000,0.010726,13.213333,1.282743
19-02-2000,0.007521,17.8,1.084821
20-02-2000,0.019639,19.2,0.938988
21-02-2000,0.016521,18.128571,0.944941
22-02-2000,0.009778,38.5,1.282657
23-02-2000,0.009526,31.5,1.453084
24-02-2000,0.00584,36.03125,2.005168
25-02-2000,0.011486,26.65,1.569291
26-02-2000,0.012493,12.3,0.966136
27-02-2000,0.013549,17.16,1.230357
28-02-2000,0.017639,7.2,1.001071
29-02-2000,0.016139,6.5,1.034896
01-03-2000,0.007418,11.106667,1.283929
02-03-2000,0.016875,9.5,1.203274
03-03-2000,0.024444,5.5,0.991071
04-03-2000,0.02141,5.676471,1.054762
05-03-2000,0.023393,9.15,1.049576
06-03-2000,0.021844,6.35,1.042716
07-03-2000,0.009425,15.25,1.17849
08-03-2000,0.010484,35.95,2.024405
09-03-2000,0.012712,40.35,1.931236
10-03-2000,0.015958,6.917647,1.177368
11-03-2000,0.016722,7.9,0.924702
12-03-2000,0.015425,8.95,1.018074
13-03-2000,0.015435,9.56875,0.993966
14-03-2000,0.015266,18.1,1.114935
15-03-2000,0.017155,20.1,1.114286
16-03-2000,0.010019,18.733333,1.353274
17-03-2000,0.020128,8.55,1.043382
18-03-2000,0.017583,7.6,0.796726
19-03-2000,0.017049,10.05,0.865774
20-03-2000,0.017722,11.75,0.919866
21-03-2000,0.01684,13.9,0.867235
22-03-2000,0.010132,10.835714,0.973911
23-03-2000,0.007382,29.8,1.825788
24-03-2000,0.017132,16.5,1.621698
25-03-2000,0.018569,20.9,1.360119
26-03-2000,0.025967,11.35,1.219603
27-03-2000,0.025694,11.7,1.066196
28-03-2000,0.021825,9.514286,1.048138
29-03-2000,0.015472,12.7,1.001585
30-03-2000,0.01863,14.3,1.106416
31-03-2000,0.017004,8.493333,1.085526
01-04-2000,0.017631,11.7,1.089376
02-04-2000,0.02353,15.2,0.950281
03-04-2000,0.011031,24.541667,1.485019
04-04-2000,0.018831,11.45,1.106647
05-04-2000,0.016356,7.3,0.939402
06-04-2000,0.020238,13.521429,1.200961
07-04-2000,0.025832,12.25,1.096824
08-04-2000,0.037099,16.1,1.008877
09-04-2000,0.024862,4.126667,0.786373
10-04-2000,0.019587,8.866667,0.97332
11-04-2000,0.009592,12.55,1.059632
12-04-2000,0.020156,11.438462,1.013351
13-04-2000,0.021244,9.55,0.904759
14-04-2000,0.020644,11.6,1.018195
15-04-2000,0.007726,21.964286,1.953443
16-04-2000,0.013673,14.5,1.523302
17-04-2000,0.020145,10.5,1.044638
18-04-2000,0.022048,8.55625,0.822064
19-04-2000,0.017151,7.4,1.016667
20-04-2000,0.018016,11.3,1.10048
21-04-2000,0.025344,6.9,0.874705
22-04-2000,0.016719,6.6,0.944048
23-04-2000,0.014979,4.7,0.922321
24-04-2000,0.026908,6.722222,1.001975
25-04-2000,0.02459,6.35,0.867559
26-04-2000,0.017138,6.25,0.854464
27-04-2000,0.008146,14.521053,1.054565
28-04-2000,0.011528,24.95,1.149134
29-04-2000,0.02029,20.35,1.259606
30-04-2000,0.031354,6.889474,0.794444
01-05-2000,0.022628,9.7,0.949973
02-05-2000,0.026018,13.4,1.183928
03-05-2000,0.032865,12.227778,0.968299
04-05-2000,0.029494,11.15,0.906554
05-05-2000,0.020821,22.8,1.523197
06-05-2000,0.040452,27.90625,1.845212
07-05-2000,0.042536,28.5,1.548397
08-05-2000,0.034024,33.4,1.614899
09-05-2000,0.044833,35.052632,1.2375
10-05-2000,0.015256,14.75,1.026814
11-05-2000,0.018382,7.35,1.079419
12-05-2000,0.020453,9.594444,1.319129
13-05-2000,0.025441,15.25,1.232986
14-05-2000,0.035244,8.15,0.944445
15-05-2000,0.027068,9.142105,0.935343
16-05-2000,0.032417,11.8,0.893074
17-05-2000,0.041105,18.5,0.873993
18-05-2000,0.031988,19.447059,0.990204
19-05-2000,0.015101,10.55,0.948292
20-05-2000,0.016826,10.5,0.886905
21-05-2000,0.019845,12.477778,0.916667
22-05-2000,0.014671,15.8,1.041628
23-05-2000,0.021071,21.2,1.020238
24-05-2000,0.028072,12.289474,1.012698
25-05-2000,0.027008,13.05,1.086849
26-05-2000,0.027613,7.6,1.003939
27-05-2000,0.02453,9.729412,0.922024
28-05-2000,0.027363,6.7,0.768481
29-05-2000,0.022417,5.2,0.631548
30-05-2000,0.020024,8.057895,0.814495
31-05-2000,0.017012,13.6,1.080286
01-06-2000,0.030282,32.25,1.404875
02-06-2000,0.041622,31.2,1.434524
03-06-2000,0.025024,7.45,0.883929
04-06-2000,0.028958,8.25,0.772619
05-06-2000,0.02418,7.79375,0.808677
06-06-2000,0.016702,5.6,0.858532
07-06-2000,0.020747,7.5,1.023512
08-06-2000,0.032065,20.566667,1.455509
09-06-2000,0.05373,30.25,1.120731
10-06-2000,0.076077,42.35,1.089643
11-06-2000,0.056191,41.411111,1.047917
12-06-2000,0.014786,18.8,1.083681
13-06-2000,0.016301,11.5,0.95809
14-06-2000,0.013129,8.605556,0.97446
15-06-2000,0.012934,19.6,1.346271
16-06-2000,0.027494,22.4,1.329349
17-06-2000,0.030589,19.878947,1.049405
18-06-2000,0.022059,12.55,1.048214
19-06-2000,0.015163,11.25,1.117052
20-06-2000,0.036589,11.829412,1.11131
21-06-2000,0.030119,15.65,1.002678
22-06-2000,0.029728,17.7,1.082233
23-06-2000,0.024607,12.2,1.077219
24-06-2000,0.04422,18.25,1.098193
25-06-2000,0.030363,20.6,0.834821
26-06-2000,0.035631,22.675,1.040606
27-06-2000,0.024953,21.45,1.044048
28-06-2000,0.024349,11.6,1.000379
29-06-2000,0.021429,13.272222,1.307417
30-06-2000,0.026182,13.1,1.355733
01-07-2000,0.033417,13.1,1.024107
02-07-2000,0.04934,20.622222,0.894048
03-07-2000,0.037792,35.3,1.043268
04-07-2000,0.035887,30,0.966964
05-07-2000,0.030173,12.452941,0.991504
06-07-2000,0.023155,7.45,0.928571
07-07-2000,0.019958,6.15,0.964233
08-07-2000,0.020274,4.972222,0.816131
09-07-2000,0.041768,20.5,0.872619
10-07-2000,0.035935,28.85,0.990476
11-07-2000,0.02647,7.405882,0.920091
